fold_id,protein,klass,dna_id,is_on_target,oracle,min_pae,n_protein_tokens,n_dna_tokens,iptm,ptm,plddt
Engrailed__polygc,Engrailed,specific,polygc,False,protenix,4.45,60,48,0.5938,0.7284,86.9663
TBP__zif268_site,TBP,specific,zif268_site,False,protenix,9.04,179,48,0.3435,0.4319,58.2151
TBP__lambda_OL1,TBP,specific,lambda_OL1,False,protenix,12.82,179,48,0.3037,0.4082,55.0476
TBP__ebox,TBP,specific,ebox,False,protenix,9.11,179,48,0.3433,0.4453,57.592
TBP__hd_taatta,TBP,specific,hd_taatta,False,protenix,9.54,179,48,0.3578,0.4885,62.2031
TBP__tata,TBP,specific,tata,True,protenix,8.84,179,48,0.3543,0.4063,57.3772
TBP__prnp,TBP,specific,prnp,False,protenix,8.75,179,48,0.34,0.4003,56.8804
TBP__scramble,TBP,specific,scramble,False,protenix,11.56,179,48,0.2793,0.4052,54.6888
TBP__polygc,TBP,specific,polygc,False,protenix,9.08,179,48,0.3163,0.4128,57.7034
Sac7d__zif268_site,Sac7d,nonspecific_binder,zif268_site,False,protenix,1.94,66,48,0.6848,0.7981,90.8377
Sac7d__lambda_OL1,Sac7d,nonspecific_binder,lambda_OL1,False,protenix,5.62,66,48,0.5496,0.7345,85.7649
Sac7d__ebox,Sac7d,nonspecific_binder,ebox,False,protenix,0.61,66,48,0.8288,0.8763,95.273
Sac7d__hd_taatta,Sac7d,nonspecific_binder,hd_taatta,False,protenix,0.86,66,48,0.7773,0.8484,93.7074
Sac7d__tata,Sac7d,nonspecific_binder,tata,False,protenix,1.24,66,48,0.7499,0.8296,92.8272
Sac7d__prnp,Sac7d,nonspecific_binder,prnp,False,protenix,1.73,66,48,0.6656,0.7245,90.6194
Sac7d__scramble,Sac7d,nonspecific_binder,scramble,False,protenix,1.43,66,48,0.7204,0.8017,90.7776
Sac7d__polygc,Sac7d,nonspecific_binder,polygc,False,protenix,4.17,66,48,0.5516,0.7736,85.8284
Ubiquitin__zif268_site,Ubiquitin,nonbinder,zif268_site,False,protenix,6.11,76,48,0.4672,0.7316,83.9199
Ubiquitin__lambda_OL1,Ubiquitin,nonbinder,lambda_OL1,False,protenix,5.78,76,48,0.4794,0.7407,82.8657
Ubiquitin__ebox,Ubiquitin,nonbinder,ebox,False,protenix,6.17,76,48,0.4786,0.7305,83.5902
Ubiquitin__hd_taatta,Ubiquitin,nonbinder,hd_taatta,False,protenix,7.01,76,48,0.4669,0.716,84.0094
Ubiquitin__tata,Ubiquitin,nonbinder,tata,False,protenix,7.85,76,48,0.4428,0.5612,76.5131
Ubiquitin__prnp,Ubiquitin,nonbinder,prnp,False,protenix,7.46,76,48,0.4494,0.715,84.2732
Ubiquitin__scramble,Ubiquitin,nonbinder,scramble,False,protenix,7.13,76,48,0.4757,0.7311,83.4932
Ubiquitin__polygc,Ubiquitin,nonbinder,polygc,False,protenix,6.41,76,48,0.468,0.7191,81.6274
GFP__zif268_site,GFP,nonbinder,zif268_site,False,protenix,14.09,238,48,0.2513,0.3419,48.9341
GFP__lambda_OL1,GFP,nonbinder,lambda_OL1,False,protenix,11.17,238,48,0.3001,0.3571,49.1314
GFP__ebox,GFP,nonbinder,ebox,False,protenix,12.73,238,48,0.2728,0.3547,49.3884
GFP__hd_taatta,GFP,nonbinder,hd_taatta,False,protenix,9.99,238,48,0.3082,0.3633,50.3913
GFP__tata,GFP,nonbinder,tata,False,protenix,9.75,238,48,0.3051,0.3796,51.4217
GFP__prnp,GFP,nonbinder,prnp,False,protenix,10.34,238,48,0.3079,0.3624,49.4073
GFP__scramble,GFP,nonbinder,scramble,False,protenix,13.86,238,48,0.2453,0.3397,49.2584
GFP__polygc,GFP,nonbinder,polygc,False,protenix,10.94,238,48,0.2776,0.3463,48.7809
