fold_id,protein,klass,dna_id,is_on_target,oracle,min_pae,n_protein_tokens,n_dna_tokens,iptm,ptm,plddt
Sac7d__ebox,Sac7d,nonspecific_binder,ebox,False,rf3,8.73,66,48,0.37,0.6706,0.8331
Sac7d__hd_taatta,Sac7d,nonspecific_binder,hd_taatta,False,rf3,8.55,66,48,0.3783,0.6805,0.8415
Sac7d__tata,Sac7d,nonspecific_binder,tata,False,rf3,10.35,66,48,0.3557,0.6703,0.8413
Sac7d__prnp,Sac7d,nonspecific_binder,prnp,False,rf3,11.14,66,48,0.3563,0.657,0.8338
Sac7d__scramble,Sac7d,nonspecific_binder,scramble,False,rf3,6.6,66,48,0.4383,0.7054,0.8395
Sac7d__polygc,Sac7d,nonspecific_binder,polygc,False,rf3,10.87,66,48,0.3569,0.6486,0.827
Ubiquitin__zif268_site,Ubiquitin,nonbinder,zif268_site,False,rf3,16.23,76,48,0.3217,0.6491,0.8268
Ubiquitin__lambda_OL1,Ubiquitin,nonbinder,lambda_OL1,False,rf3,17.17,76,48,0.3157,0.6403,0.8294
Ubiquitin__ebox,Ubiquitin,nonbinder,ebox,False,rf3,16.64,76,48,0.3145,0.643,0.8258
Ubiquitin__hd_taatta,Ubiquitin,nonbinder,hd_taatta,False,rf3,16.79,76,48,0.3062,0.639,0.8256
Ubiquitin__tata,Ubiquitin,nonbinder,tata,False,rf3,16.51,76,48,0.3026,0.6305,0.8127
Ubiquitin__prnp,Ubiquitin,nonbinder,prnp,False,rf3,16.99,76,48,0.3148,0.6434,0.8273
Ubiquitin__scramble,Ubiquitin,nonbinder,scramble,False,rf3,17.0,76,48,0.3111,0.6415,0.8253
Ubiquitin__polygc,Ubiquitin,nonbinder,polygc,False,rf3,16.67,76,48,0.3147,0.6475,0.8195
GFP__zif268_site,GFP,nonbinder,zif268_site,False,rf3,16.33,238,48,0.2703,0.4076,0.7536
GFP__lambda_OL1,GFP,nonbinder,lambda_OL1,False,rf3,15.72,238,48,0.2804,0.4045,0.7596
GFP__ebox,GFP,nonbinder,ebox,False,rf3,15.95,238,48,0.274,0.4114,0.7457
GFP__hd_taatta,GFP,nonbinder,hd_taatta,False,rf3,16.2,238,48,0.2661,0.4005,0.7519
GFP__tata,GFP,nonbinder,tata,False,rf3,16.51,238,48,0.2636,0.4012,0.7541
GFP__prnp,GFP,nonbinder,prnp,False,rf3,17.61,238,48,0.2484,0.3998,0.7553
GFP__scramble,GFP,nonbinder,scramble,False,rf3,16.85,238,48,0.2574,0.4065,0.753
GFP__polygc,GFP,nonbinder,polygc,False,rf3,16.12,238,48,0.2727,0.4126,0.7506
